event                                    ,year,date ,no. ,Pos.,Dist.,time    ,speed,link
                                         ,    ,mm/dd,    ,    ,km   ,hh:mm:ss,km/h ,
Road to Taiwan KOM - Summer              ,2020,07/06,295 , 183,105  ,06:27:47,16   ,3726615065
Taiwan KOM Challenge                     ,2021,10/29,347 , 107,105  ,05:15:31,20   ,6181422186
Tour of East Taiwan 365 Challenge - Day 1,2020,11/28,2504,  15,170  ,05:00:03,34   ,4399997624
Tour of East Taiwan 365 Challenge - Day 2,2020,11/29,2504,  46,170  ,06:16:30,27   ,4405062332
Tour of East Taiwan 365 Challenge - Day 1,2021,04/17,2501,   8,170  ,04:50:35,35   ,5139550258
Tour of East Taiwan 365 Challenge - Day 2,2021,04/18,2501,  25,170  ,06:00:03,28   ,5145832049
Tour of East Taiwan 365 Challenge - Day 1,2022,04/09,2103,   8,170  ,04:54:01,35   ,6952002654
Tour of East Taiwan 365 Challenge - Day 2,2022,04/10,2103,   5,170  ,05:09:49,33   ,6957194323
Penghu 101 Hopping Bike                  ,2020,09/20,1267,   5,101  ,03:43:13,29   ,4091857572
Changhua 100 Classic                     ,2021,03/27,5159, 141,116  ,03:33:57,33   ,5016382352
Meishan 36 Bends                         ,2022,02/20,1539,  15, 64  ,02:43:13,25   ,6708958371
NeverStop Tataka                         ,2022,04/24,1420,  26, 71  ,03:35:15,20   ,7030833686
NeverStop Wuling                         ,2022,06/25,    ,    , 53  ,        ,     ,
Tour de Pingtung - Day 1                 ,2022,     ,    ,    ,     ,        ,     ,
Tour de Pingtung - Day 1                 ,2022,     ,    ,    ,     ,        ,     ,
